Millions Denied Pension As Finger Prints Don't Match Aadhaar: Lawmaker  {'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}
Millions Denied Pension As Finger Prints Don't Match Aadhaar: Lawmaker  {'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}
Millions Denied Pension As Finger Prints Don't Match Aadhaar: Lawmaker  {'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}
Millions Denied Pension As Finger Prints Don't Match Aadhaar: Lawmaker  {'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}
Digital India---------------------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Millions Denied Pension As Finger Prints Don't Match Aadhaar: Lawmaker  {'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}
@UIDAI: Sri Lanka is keen to introduce an Aadhaar-like initiative. #AadhaarInNews  {'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}
@waglenikhil: AADHAAR: 53---------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Facebook testing Aadhaar for new users--------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@bsindia: Govt to sort out #Aadhaar glitches -------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
BJP MP says elderly not getting pension due to Aadhaar link ----- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
BJP MP says elderly not getting pension due to Aadhaar link ----- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@svaradarajan: Heartbreaking story of India's most vulnerable held hostage to Aadhaar | great reporting by @sukanyashantha  {'neg': 0.244, 'neu': 0.564, 'pos': 0.193, 'compound': -0.024}
BJP MP says elderly not getting pension due to Aadhaar link ----- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
BJP MP says elderly not getting pension due to Aadhaar link ----- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@yash_agarwal999 In Assam---------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@UIDAI: Sri Lanka is keen to introduce an Aadhaar-like initiative. #AadhaarInNews  {'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}
@UIDAI: Sri Lanka is keen to introduce an Aadhaar-like initiative. #AadhaarInNews  {'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}
@DailyFintech: Shows why India is the country to watch in Fintech  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Will enquire into #Facebook demanding users' #Aadhaar: Minister - {'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.2263}
@UPGovt @UPNews360 @CMOfficeUP when the service of Aadhaar based marriage registration will start again? {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@apnnewsindia: CEO of #Airtel Payments Bank resigns after #Aadhaar e-KYC misuse controversy.  {'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}
Will enquire into Facebook demanding users' Aadhaar: Minister --- {'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.2263}
@svaradarajan: Heartbreaking story of India's most vulnerable held hostage to Aadhaar | great reporting by @sukanyashantha  {'neg': 0.244, 'neu': 0.564, 'pos': 0.193, 'compound': -0.024}
@nixxin: Hi @ShashiTharoor -------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@svaradarajan: Heartbreaking story of India's most vulnerable held hostage to Aadhaar | great reporting by @sukanyashantha  {'neg': 0.244, 'neu': 0.564, 'pos': 0.193, 'compound': -0.024}
@waglenikhil: AADHAAR: 53---------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@UIDAI: Sri Lanka is keen to introduce an Aadhaar-like initiative. #AadhaarInNews  {'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}
@UIDAI: Sri Lanka is keen to introduce an Aadhaar-like initiative. #AadhaarInNews  {'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}
The latest MoneyMANTRA! is out! Evening Economic Newspaper from Karim!  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@UIDAI: Sri Lanka is keen to introduce an Aadhaar-like initiative. #AadhaarInNews  {'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}
@UIDAI: 71.24 Crore Mobile Connections Linked With Aadhaar------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
Sri Lanka is keen to introduce an Aadhaar-like initiative. #AadhaarInNews  {'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}
@AAPlogical: Another death due of denial of services bcause of #Aadhaar. Modi will claim it as savings! @NandanNilekani @UIDAI  {'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.636}
